Entity,Code,Year,cumulative_launches,Continent
Algeria,DZA,2002,1,Africa
Algeria,DZA,2010,2,Africa
Algeria,DZA,2016,5,Africa
Algeria,DZA,2017,6,Africa
Angola,AGO,2017,1,Africa
Arabsat,,1985,2,Asia
Arabsat,,1992,3,Asia
Arabsat,,1996,5,Asia
Arabsat,,1999,6,Asia
Arabsat,,2006,8,Asia
Arabsat,,2008,9,Asia
Arabsat,,2010,11,Asia
Arabsat,,2011,12,Asia
Arabsat,,2015,13,Asia
Arabsat,,2019,14,Asia
Argentina,ARG,1990,1,South America
Argentina,ARG,1996,4,South America
Argentina,ARG,1997,5,South America
Argentina,ARG,1998,6,South America
Argentina,ARG,2000,8,South America
Argentina,ARG,2002,10,South America
Argentina,ARG,2007,11,South America
Argentina,ARG,2011,12,South America
Argentina,ARG,2013,14,South America
Argentina,ARG,2014,16,South America
Argentina,ARG,2015,17,South America
Argentina,ARG,2018,18,South America
Argentina,ARG,2020,19,South America
Argentina,ARG,2021,20,South America
Australia,AUS,1967,1,ANZ
Australia,AUS,1970,2,ANZ
Australia,AUS,1985,4,ANZ
Australia,AUS,1987,5,ANZ
Australia,AUS,1990,6,ANZ
Australia,AUS,1992,8,ANZ
Australia,AUS,1994,9,ANZ
Australia,AUS,1998,10,ANZ
Australia,AUS,2002,11,ANZ
Australia,AUS,2003,12,ANZ
Australia,AUS,2006,13,ANZ
Australia,AUS,2007,14,ANZ
Australia,AUS,2009,15,ANZ
Australia,AUS,2014,16,ANZ
Australia,AUS,2015,17,ANZ
Australia,AUS,2016,18,ANZ
Australia,AUS,2017,19,ANZ
Australia,AUS,2018,25,ANZ
Australia,AUS,2019,26,ANZ
Australia,AUS,2020,29,ANZ
Australia,AUS,2021,36,ANZ
Austria,AUT,2013,2,Europe
Austria,AUT,2017,3,Europe
Azerbaijan,AZE,2013,1,Europe
Azerbaijan,AZE,2014,2,Europe
Azerbaijan,AZE,2018,3,Europe
Bangladesh,BGD,2017,1,Asia
Bangladesh,BGD,2018,2,Asia
Belarus,BLR,2012,1,Europe
Belarus,BLR,2016,2,Europe
Belarus,BLR,2018,3,Europe
Belgium,BEL,2014,3,Europe
Belgium,BEL,2016,4,Europe
Belgium,BEL,2017,32,Europe
Belgium,BEL,2020,35,Europe
Belgium,BEL,2021,36,Europe
Bhutan,BTN,2018,1,Asia
Bolivia,BOL,2013,1,South America
Brazil,BRA,1985,1,South America
Brazil,BRA,1986,2,South America
Brazil,BRA,1990,3,South America
Brazil,BRA,1993,4,South America
Brazil,BRA,1994,5,South America
Brazil,BRA,1995,6,South America
Brazil,BRA,1998,8,South America
Brazil,BRA,1999,12,South America
Brazil,BRA,2000,13,South America
Brazil,BRA,2004,15,South America
Brazil,BRA,2007,16,South America
Brazil,BRA,2008,17,South America
Brazil,BRA,2009,18,South America
